"","Sample1a","Sample2a","Sample3","Sample4","DENC1","DENC2","Sample1b","Sample2b","Sample7","Sample5","Sample6","DENC3","DENC4","tax"
"genus1",10,18,9,11,0,0,12,14,11,10,9,1,0,"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;fragilis"
"genus2",9,8,7,5,1,0,9,8,5,4,5,0,1,"Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Faecalibacterium;prausnitzii"
"genus3",3,3,14,17,1,0,0,0,17,20,22,0,0,"Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Roseburia;intestinalis"
"genus4",14,13,39,50,0,0,8,8,48,50,41,0,1,"Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Eubacterium;rectale"
"genus5",9,2,0,1,0,1,9,3,0,1,2,1,0,"Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus;bromii"
"Contam1",11,12,0,0,40,0,0,0,0,0,0,0,23,"Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;coli"
"Contam2",12,13,20,7,30,11,13,13,18,10,13,50,3,"Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;epidermidis"
"Contam3",10,10,1,1,25,85,30,30,0,1,0,24,37,"Bacteria;Firmicutes;Bacilli;Bacillales;Streptococcaceae;Streptococcus;pneumoniae"
"Contam4",10,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;aeruginosa"
"Contam5",0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;faecalis"
"Contam6",0,0,0,0,1,0,0,0,0,0,0,0,0,"Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae;Micrococcus;luteus"
"Contam7",0,0,0,0,0,0,0,0,0,0,0,0,2,"Bacteria;Actinobacteria;Actinobacteria;Propionibacteriales;Propionibacteriaceae;Cutibacterium;acnes"
"Contam8",0,0,0,0,0,0,10,0,0,0,0,0,0,"Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella;pneumoniae"
"Contam9",0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;subtilis"
"Contam10",0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;fluorescens"
"Contam11",0,0,0,0,0,0,0,0,0,0,5,0,0,"Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Microbacteriaceae;Microbacterium;testaceum"
"Contam12",0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae;Kocuria;rhizophila"
"Contam13",0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;cereus"
"Contam14",0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;cloacae"
"Contam15",0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Lysinibacillus;sphaericus"
"Contam16",0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae;Rothia;mucilaginosa"
